"","vote","age","occupation_oesch","occupation_oesch_5","own_rent","sub_class","election","prov","quebec","degree","income_tertile","male","weight","ideology","cps25_employment","education","vote2","sub_class2","obj_class2","concordance","occupation_oesch_5_2"
"30","Liberal",26,NA,NA,"Rent","Middle Class","2025",10,0,0,2,0,1.07239675521851,0.6,1,3,"Liberal","Middle Class",NA,NA,NA
"31","Liberal",48,"Skilled clerks","Skilled workers","Rent","Middle Class","2025",5,1,0,2,1,1.88132548332214,0.5,1,2,"Liberal","Middle Class","Middle Class","Concordant",NA
"32","Liberal",82,NA,NA,"Own","Middle Class","2025",10,0,0,1,1,1.80159318447113,0.6,4,3,"Liberal","Middle Class",NA,NA,NA
"33",NA,69,NA,NA,"Rent","Lower Class","2025",10,0,0,1,0,0.775016903877258,0.5,4,3,NA,"Working Class",NA,NA,NA
"34",NA,34,"Low-skilled manual","Unskilled workers","Rent","Working Class","2025",6,0,0,1,1,1.19598281383514,0.5,1,3,NA,"Working Class","Working Class","Concordant",NA
"35","Conservative",40,"Self-employed","Self-employed","Own","Working Class","2025",9,0,0,2,0,1.19415259361267,0.8,3,3,"Conservative","Working Class","Middle Class","Deflator","Self-employed"
"36","Bloc",60,"Higher-grade managers","Higher-grade service","Own","Middle Class","2025",5,1,0,2,1,0.928470730781555,0.3,1,3,"Bloc","Middle Class","Upper Class","Deflator","Higher-grade service"
"37","Liberal",62,NA,NA,"Rent","Lower Class","2025",10,0,0,1,0,1.62883794307709,0.3,5,2,"Liberal","Working Class",NA,NA,NA
"38","Liberal",67,"Higher-grade managers","Higher-grade service","Rent","Working Class","2025",6,0,1,1,0,0.574452638626099,0.3,4,5,"Liberal","Working Class","Upper Class","Deflator","Higher-grade service"
"39","Green",34,NA,NA,"Own","Lower Class","2025",9,0,0,1,0,2.39605069160461,0.7,8,2,NA,"Working Class",NA,NA,NA
"40","Conservative",57,"Higher-grade managers","Higher-grade service","Own","Middle Class","2025",6,0,0,2,1,0.68856155872345,0.7,4,4,"Conservative","Middle Class","Upper Class","Deflator","Higher-grade service"
"41","NDP",30,"Socio-cultural professionals","Higher-grade service","Rent","Middle Class","2025",9,0,1,2,0,0.908220827579498,0.3,6,5,"NDP","Middle Class","Upper Class","Deflator","Higher-grade service"
"42","Liberal",19,"Self-employed","Self-employed","Rent","Upper-Middle Class","2025",6,0,0,NA,0,2.09702253341675,0.3,3,2,"Liberal","Upper Class","Working Class","Inflator","Self-employed"
"43","Liberal",71,NA,NA,"Own","Middle Class","2025",6,0,1,2,1,0.601073384284973,0.5,4,5,"Liberal","Middle Class",NA,NA,NA
"44",NA,29,"Socio-cultural professionals","Higher-grade service","Rent","Working Class","2025",6,0,1,2,0,0.794874489307404,0.8,1,5,NA,"Working Class","Upper Class","Deflator","Higher-grade service"
"45","Liberal",53,"Higher-grade managers","Higher-grade service","Rent","Middle Class","2025",6,0,0,1,1,1.81654977798462,1,2,2,"Liberal","Middle Class","Upper Class","Deflator","Higher-grade service"
"46","Conservative",69,"Higher-grade managers","Higher-grade service","Own","Upper-Middle Class","2025",6,0,1,2,0,0.574452638626099,1,4,5,"Conservative","Upper Class","Upper Class","Concordant","Higher-grade service"
"47","Conservative",56,"Higher-grade managers","Higher-grade service","Rent","Working Class","2025",6,0,0,2,1,0.990138351917267,0.7,1,3,"Conservative","Working Class","Upper Class","Deflator","Higher-grade service"
"48",NA,41,"Skilled service","Skilled workers","Rent",NA,"2025",9,0,0,1,0,2.19084310531616,NA,6,1,NA,NA,"Middle Class",NA,NA
"49","Liberal",73,"Lower-grade managers","Lower-grade service","Own","Middle Class","2025",5,1,0,1,1,0.810499787330627,0.6,4,3,"Liberal","Middle Class","Middle Class","Concordant","Lower-grade service"
"50",NA,25,"Skilled clerks","Skilled workers",NA,NA,"2025",10,0,1,NA,0,0.745765686035156,0.3,1,5,NA,NA,"Middle Class",NA,NA
"51",NA,53,"Lower-grade managers","Lower-grade service","Own","Lower Class","2025",10,0,0,NA,0,1.62883794307709,0.5,2,2,NA,"Working Class","Middle Class","Deflator","Lower-grade service"
"52","Conservative",23,NA,NA,NA,"Middle Class","2025",7,0,0,2,1,2.03834533691406,0.8,1,2,"Conservative","Middle Class",NA,NA,NA
"53","Conservative",30,"Self-employed","Self-employed","Own","Middle Class","2025",5,1,1,3,0,0.745368242263794,1,3,5,"Conservative","Middle Class","Upper Class","Deflator","Self-employed"
"54","Conservative",46,"Socio-cultural (semi-professionals)","Lower-grade service","Own","Middle Class","2025",5,1,0,2,1,0.713114678859711,0.7,1,4,"Conservative","Middle Class","Middle Class","Concordant","Lower-grade service"
"55","Liberal",45,"Self-employed","Self-employed","Own","Middle Class","2025",6,0,1,3,0,0.726798176765442,0.5,3,5,"Liberal","Middle Class","Upper Class","Deflator","Self-employed"
"56",NA,70,NA,NA,"Own","Middle Class","2025",10,0,0,1,0,0.775016903877258,0.6,4,3,NA,"Middle Class",NA,NA,NA
"57","Conservative",38,"Socio-cultural professionals","Higher-grade service","Rent","Upper-Middle Class","2025",6,0,1,2,1,0.760478734970093,0.8,1,5,"Conservative","Upper Class","Upper Class","Concordant","Higher-grade service"
"58","Liberal",81,"Lower-grade managers","Lower-grade service","Rent","Middle Class","2025",5,1,0,1,0,3.15720915794373,0.5,4,1,"Liberal","Middle Class","Middle Class","Concordant","Lower-grade service"
"59","Liberal",70,NA,NA,"Own","Middle Class","2025",6,0,0,2,1,0.864332020282745,0.5,4,3,"Liberal","Middle Class",NA,NA,NA
"60","Liberal",73,"Higher-grade managers","Higher-grade service","Rent","Upper-Middle Class","2025",5,1,1,2,1,0.563637375831604,0.5,2,5,"Liberal","Upper Class","Upper Class","Concordant","Higher-grade service"
"61","Liberal",31,NA,NA,"Own","Middle Class","2025",9,0,1,2,1,0.950308740139008,0.2,1,5,"Liberal","Middle Class",NA,NA,NA
"62","Green",29,"Socio-cultural professionals","Higher-grade service","Own","Middle Class","2025",5,1,1,2,1,0.779909372329712,0,1,5,NA,"Middle Class","Upper Class","Deflator","Higher-grade service"
"63",NA,57,NA,NA,"Own","Working Class","2025",6,0,0,2,1,0.990138351917267,0.6,4,3,NA,"Working Class",NA,NA,NA
"64","Liberal",64,"Socio-cultural professionals","Higher-grade service","Own","Middle Class","2025",6,0,1,3,0,0.658066034317017,0.2,2,5,"Liberal","Middle Class","Upper Class","Deflator","Higher-grade service"
"65",NA,65,"Socio-cultural professionals","Higher-grade service","Own","Middle Class","2025",9,0,1,2,0,0.656367599964142,0.5,1,5,NA,"Middle Class","Upper Class","Deflator","Higher-grade service"
"66","Liberal",49,"Self-employed","Self-employed","Own","Upper-Middle Class","2025",5,1,1,2,1,0.713114678859711,0.4,3,5,"Liberal","Upper Class","Upper Class","Concordant","Self-employed"
"67","Conservative",64,"Technicians","Lower-grade service","Own","Working Class","2025",9,0,0,NA,0,1.08122372627258,0.6,4,3,"Conservative","Working Class","Middle Class","Deflator","Lower-grade service"
"68","Liberal",53,NA,NA,"Rent","Middle Class","2025",10,0,0,1,1,0.92896580696106,0.3,1,3,"Liberal","Middle Class",NA,NA,NA
"69","Liberal",43,"Socio-cultural (semi-professionals)","Lower-grade service","Own","Working Class","2025",3,0,1,3,0,0.689314305782318,1,10,5,"Liberal","Working Class","Middle Class","Deflator","Lower-grade service"
"70",NA,30,NA,NA,"Own","Middle Class","2025",5,1,0,3,0,0.745368242263794,NA,1,4,NA,"Middle Class",NA,NA,NA
"71","Liberal",34,"Self-employed","Self-employed","Own","Upper-Middle Class","2025",5,1,1,3,1,0.779909372329712,0.4,3,5,"Liberal","Upper Class","Upper Class","Concordant","Self-employed"
"72","Conservative",59,NA,NA,"Rent","Middle Class","2025",5,1,0,1,0,1.62796986103058,0.6,2,2,"Conservative","Middle Class",NA,NA,NA
"73",NA,34,"Socio-cultural professionals","Higher-grade service","Rent","Working Class","2025",6,0,1,1,0,0.794874489307404,0.5,1,5,NA,"Working Class","Upper Class","Deflator","Higher-grade service"
"74","Conservative",48,"Higher-grade managers","Higher-grade service","Own","Upper-Middle Class","2025",9,0,1,2,1,0.868920385837555,0.9,1,5,"Conservative","Upper Class","Upper Class","Concordant","Higher-grade service"
"75","Liberal",63,"Lower-grade managers","Lower-grade service","Own","Middle Class","2025",10,0,0,2,0,0.887823164463043,0.5,1,3,"Liberal","Middle Class","Middle Class","Concordant","Lower-grade service"
"76","Liberal",26,"Lower-grade managers","Lower-grade service","Own","Middle Class","2025",6,0,1,3,0,0.794874489307404,0.5,1,5,"Liberal","Middle Class","Middle Class","Concordant","Lower-grade service"
"77","NDP",50,NA,NA,"Own","Middle Class","2025",6,0,0,NA,0,0.94628643989563,NA,1,3,"NDP","Middle Class",NA,NA,NA
"78","Conservative",24,NA,NA,"Rent","Middle Class","2025",5,1,0,1,1,2.057541847229,NA,6,2,"Conservative","Middle Class",NA,NA,NA
"79",NA,19,NA,NA,"Own","Middle Class","2025",6,0,0,2,0,0.794874489307404,0.2,6,4,NA,"Middle Class",NA,NA,NA
"80","Bloc",67,"Skilled clerks","Skilled workers","Own","Middle Class","2025",5,1,0,2,0,1.42112100124359,0.7,4,2,"Bloc","Middle Class","Middle Class","Concordant",NA
"81",NA,73,NA,NA,"Own","Middle Class","2025",5,1,0,1,0,1.42112100124359,NA,4,1,NA,"Middle Class",NA,NA,NA
"82",NA,31,"Socio-cultural professionals","Higher-grade service","Own","Middle Class","2025",5,1,1,2,0,0.745368242263794,NA,1,5,NA,"Middle Class","Upper Class","Deflator","Higher-grade service"
"83",NA,32,"Low-skilled service","Unskilled workers","Own",NA,"2025",6,0,0,1,0,1.14301443099976,NA,1,3,NA,NA,"Working Class",NA,NA
"84","Liberal",65,NA,NA,"Rent","Middle Class","2025",3,0,0,1,1,1.50395750999451,0.5,8,2,"Liberal","Middle Class",NA,NA,NA
"85","Other",20,NA,NA,"Rent","Working Class","2025",5,1,0,1,0,0.745368242263794,0.1,6,4,NA,"Working Class",NA,NA,NA
"86","Liberal",18,NA,NA,"Own","Middle Class","2025",5,1,0,2,0,1.0718252658844,0.5,9,3,"Liberal","Middle Class",NA,NA,NA
"87",NA,31,"Higher-grade managers","Higher-grade service","Own","Working Class","2025",5,1,0,2,1,1.12149477005005,0.7,1,3,NA,"Working Class","Upper Class","Deflator","Higher-grade service"
"88","Conservative",18,NA,NA,"Own","Middle Class","2025",10,0,0,2,0,1.96746480464935,0.6,6,1,"Conservative","Middle Class",NA,NA,NA
"89","Liberal",56,"Higher-grade managers","Higher-grade service","Own","Upper-Middle Class","2025",5,1,1,3,0,0.617080450057983,0.6,1,5,"Liberal","Upper Class","Upper Class","Concordant","Higher-grade service"
"90",NA,58,NA,NA,"Own","Middle Class","2025",5,1,0,2,0,0.887349963188171,NA,1,3,NA,"Middle Class",NA,NA,NA
"91","NDP",47,"Skilled clerks","Skilled workers","Own",NA,"2025",9,0,1,2,1,0.868920385837555,0.4,1,5,"NDP",NA,"Middle Class",NA,NA
"92","Conservative",27,NA,NA,"Rent",NA,"2025",9,0,0,1,0,0.908220827579498,NA,5,4,"Conservative",NA,NA,NA,NA
"93","Conservative",42,"Socio-cultural professionals","Higher-grade service","Own","Middle Class","2025",6,0,0,2,1,2.00628042221069,1,1,2,"Conservative","Middle Class","Upper Class","Deflator","Higher-grade service"
"94","Bloc",56,NA,NA,"Rent","Middle Class","2025",5,1,1,2,0,0.617080450057983,NA,1,5,"Bloc","Middle Class",NA,NA,NA
"95","Conservative",50,"Higher-grade managers","Higher-grade service","Own","Middle Class","2025",10,0,0,2,1,0.92896580696106,0.6,1,3,"Conservative","Middle Class","Upper Class","Deflator","Higher-grade service"
"96","Liberal",39,NA,NA,NA,"Working Class","2025",4,0,0,2,1,0.709547877311707,0.2,1,4,"Liberal","Working Class",NA,NA,NA
"97","Conservative",18,NA,NA,"Own","Middle Class","2025",10,0,0,2,1,2.05863904953003,0.6,9,2,"Conservative","Middle Class",NA,NA,NA
"98","Liberal",35,"Higher-grade managers","Higher-grade service","Own","Middle Class","2025",5,1,1,2,0,0.68153178691864,0.9,1,5,"Liberal","Middle Class","Upper Class","Deflator","Higher-grade service"
"99",NA,60,"Higher-grade managers","Higher-grade service","Own",NA,"2025",6,0,1,3,1,0.68856155872345,0.4,1,5,NA,NA,"Upper Class",NA,"Higher-grade service"
"100",NA,65,NA,NA,"Own",NA,"2025",5,1,1,NA,0,0.538674652576447,NA,4,5,NA,NA,NA,NA,NA
"101","Conservative",53,NA,NA,"Rent","Lower Class","2025",10,0,0,1,1,1.70432007312775,0.5,12,1,"Conservative","Working Class",NA,NA,NA
"102","Liberal",73,NA,NA,"Own","Upper-Middle Class","2025",6,0,0,2,1,1.58574032783508,0.5,4,2,"Liberal","Upper Class",NA,NA,NA
"103","Bloc",55,"Lower-grade managers","Lower-grade service","Rent","Middle Class","2025",5,1,1,NA,1,0.645676612854004,0.5,1,5,"Bloc","Middle Class","Middle Class","Concordant","Lower-grade service"
"104","Bloc",39,"Skilled clerks","Skilled workers","Own","Middle Class","2025",5,1,0,1,0,0.980029702186584,NA,1,3,"Bloc","Middle Class","Middle Class","Concordant",NA
"105","Conservative",67,NA,NA,"Rent","Working Class","2025",6,0,0,1,0,0.826051950454712,NA,4,3,"Conservative","Working Class",NA,NA,NA
"106","Liberal",70,NA,NA,"Own","Working Class","2025",6,0,1,1,1,0.601073384284973,0.3,4,5,"Liberal","Working Class",NA,NA,NA
"107",NA,39,"Lower-grade managers","Lower-grade service","Rent","Working Class","2025",6,0,0,2,0,1.04512190818787,NA,1,3,NA,"Working Class","Middle Class","Deflator","Lower-grade service"
"108",NA,52,NA,NA,"Rent",NA,"2025",9,0,0,2,0,1.08122372627258,0.3,1,3,NA,NA,NA,NA,NA
"109","Liberal",50,"Low-skilled manual","Unskilled workers","Own","Working Class","2025",8,0,0,1,1,1.26046788692474,0.4,1,2,"Liberal","Working Class","Working Class","Concordant",NA
"110",NA,58,NA,NA,NA,NA,"2025",6,0,1,3,1,0.68856155872345,NA,13,5,NA,NA,NA,NA,NA
"111","NDP",30,"Technical experts","Higher-grade service","Rent","Working Class","2025",7,0,1,2,1,0.772632956504822,0.1,1,5,"NDP","Working Class","Upper Class","Deflator","Higher-grade service"
"112","Liberal",47,"Technical experts","Higher-grade service","Own","Middle Class","2025",6,0,0,3,1,1.09355390071869,0,5,3,"Liberal","Middle Class","Upper Class","Deflator","Higher-grade service"
"113","Conservative",60,"Higher-grade managers","Higher-grade service","Own","Upper-Middle Class","2025",10,0,0,3,1,0.92896580696106,0.8,1,3,"Conservative","Upper Class","Upper Class","Concordant","Higher-grade service"
"114",NA,63,"Lower-grade managers","Lower-grade service","Own","Middle Class","2025",6,0,0,1,1,0.990138351917267,0.3,4,3,NA,"Middle Class","Middle Class","Concordant","Lower-grade service"
"115",NA,40,NA,NA,"Own","Middle Class","2025",5,1,0,2,0,1.79800403118134,0.2,1,2,NA,"Middle Class",NA,NA,NA
"116",NA,48,NA,NA,"Rent","Lower Class","2025",10,0,0,1,1,1.02599215507507,0.5,1,3,NA,"Working Class",NA,NA,NA
"117",NA,56,"Socio-cultural (semi-professionals)","Lower-grade service","Rent","Working Class","2025",6,0,1,2,0,0.658066034317017,NA,1,5,NA,"Working Class","Middle Class","Deflator","Lower-grade service"
"118","NDP",40,"Lower-grade managers","Lower-grade service","Own","Middle Class","2025",1,0,1,3,1,0.836579322814941,0,1,5,"NDP","Middle Class","Middle Class","Concordant","Lower-grade service"
"119","Liberal",60,NA,NA,"Own","Upper-Middle Class","2025",10,0,0,2,1,1.70432007312775,0.4,4,2,"Liberal","Upper Class",NA,NA,NA
"120","Liberal",61,NA,NA,"Own","Middle Class","2025",6,0,1,2,0,0.658066034317017,0.7,1,5,"Liberal","Middle Class",NA,NA,NA
"121","Liberal",59,"Higher-grade managers","Higher-grade service","Rent","Upper-Middle Class","2025",6,0,1,2,0,0.658066034317017,0.7,1,5,"Liberal","Upper Class","Upper Class","Concordant","Higher-grade service"
"122","Conservative",79,NA,NA,"Own","Middle Class","2025",6,0,0,2,1,0.864332020282745,1,4,3,"Conservative","Middle Class",NA,NA,NA
"123",NA,35,"Higher-grade managers","Higher-grade service","Rent","Lower Class","2025",6,0,1,1,0,0.726798176765442,NA,7,5,NA,"Working Class","Upper Class","Deflator","Higher-grade service"
"124","NDP",33,NA,NA,"Rent","Working Class","2025",6,0,1,2,0,0.794874489307404,0.2,1,5,"NDP","Working Class",NA,NA,NA
"125","Liberal",48,"Socio-cultural (semi-professionals)","Lower-grade service","Own","Middle Class","2025",5,1,0,2,0,0.68153178691864,0.3,1,4,"Liberal","Middle Class","Middle Class","Concordant","Lower-grade service"
"126",NA,20,"Low-skilled manual","Unskilled workers","Rent","Working Class","2025",6,0,0,1,1,0.831709861755371,0.7,6,4,NA,"Working Class","Working Class","Concordant",NA
"127","Conservative",28,"Self-employed","Self-employed","Rent","Middle Class","2025",5,1,1,3,0,0.745368242263794,0.7,3,5,"Conservative","Middle Class","Upper Class","Deflator","Self-employed"
"128","Conservative",52,NA,NA,"Rent",NA,"2025",6,0,1,NA,1,0.68856155872345,0.6,4,5,"Conservative",NA,NA,NA,NA
"129","Liberal",63,"Higher-grade managers","Higher-grade service","Own","Middle Class","2025",6,0,1,3,0,0.658066034317017,0.2,1,5,"Liberal","Middle Class","Upper Class","Deflator","Higher-grade service"
"130",NA,48,"Skilled clerks","Skilled workers","Own","Working Class","2025",3,0,0,1,0,0.991220891475677,NA,1,3,NA,"Working Class","Middle Class","Deflator",NA
"131","Conservative",64,NA,NA,"Rent","Lower Class","2025",6,0,0,1,0,0.94628643989563,0.7,1,3,"Conservative","Working Class",NA,NA,NA
"132",NA,41,"Low-skilled service","Unskilled workers","Rent","Lower Class","2025",6,0,0,1,1,2.00628042221069,0.5,1,1,NA,"Working Class","Working Class","Concordant",NA
"133",NA,24,NA,NA,"Own","Working Class","2025",9,0,0,2,0,1.30600428581238,NA,1,3,NA,"Working Class",NA,NA,NA
"134","Liberal",22,NA,NA,"Rent","Lower Class","2025",6,0,0,2,1,2.19420099258423,0.3,8,2,"Liberal","Working Class",NA,NA,NA
"135","Liberal",52,NA,NA,"Own","Upper-Middle Class","2025",5,1,1,3,0,0.617080450057983,0.3,1,5,"Liberal","Upper Class",NA,NA,NA
"136","Conservative",41,"Higher-grade managers","Higher-grade service","Rent","Middle Class","2025",5,1,1,2,1,0.713114678859711,0.5,1,5,"Conservative","Middle Class","Upper Class","Deflator","Higher-grade service"
"137","NDP",20,"Skilled clerks","Skilled workers","Own","Upper-Middle Class","2025",7,0,0,2,1,0.772632956504822,0.2,6,4,"NDP","Upper Class","Middle Class","Inflator",NA
"138","Liberal",55,"Skilled clerks","Skilled workers","Own","Working Class","2025",3,0,0,2,0,1.64655995368958,0,1,2,"Liberal","Working Class","Middle Class","Deflator",NA
"139","Conservative",87,"Higher-grade managers","Higher-grade service","Own","Middle Class","2025",4,0,0,1,1,1.79162669181824,0.9,4,3,"Conservative","Middle Class","Upper Class","Deflator","Higher-grade service"
"140","Conservative",65,"Skilled service","Skilled workers","Own","Working Class","2025",10,0,0,NA,0,0.775016903877258,NA,4,3,"Conservative","Working Class","Middle Class","Deflator",NA
"141","Liberal",75,NA,NA,"Own","Middle Class","2025",6,0,1,2,0,0.574452638626099,0.6,4,5,"Liberal","Middle Class",NA,NA,NA
"142",NA,34,"Higher-grade managers","Higher-grade service","Rent","Working Class","2025",10,0,1,NA,1,0.78032523393631,0.5,10,5,NA,"Working Class","Upper Class","Deflator","Higher-grade service"
"143","Conservative",49,"Higher-grade managers","Higher-grade service","Own","Middle Class","2025",10,0,1,2,1,0.713494956493378,0.3,1,5,"Conservative","Middle Class","Upper Class","Deflator","Higher-grade service"
"144","Conservative",85,"Higher-grade managers","Higher-grade service","Rent","Upper-Middle Class","2025",6,0,1,2,1,1.33536422252655,0.8,4,5,"Conservative","Upper Class","Upper Class","Concordant","Higher-grade service"
"145",NA,27,NA,NA,"Own","Upper-Middle Class","2025",6,0,1,2,1,0.831709861755371,0.7,1,5,NA,"Upper Class",NA,NA,NA
"146","Conservative",24,NA,NA,"Rent","Middle Class","2025",6,0,1,2,1,0.831709861755371,0.8,1,5,"Conservative","Middle Class",NA,NA,NA
"147","Liberal",45,"Socio-cultural professionals","Higher-grade service","Own","Working Class","2025",6,0,0,2,0,1.04512190818787,0.2,1,3,"Liberal","Working Class","Upper Class","Deflator","Higher-grade service"
"148","Conservative",43,"Skilled manual","Skilled workers","Own","Middle Class","2025",8,0,0,1,1,0.758795440196991,0.9,1,3,"Conservative","Middle Class","Working Class","Inflator",NA
"149",NA,42,NA,NA,"Own","Middle Class","2025",5,1,0,2,0,0.980029702186584,0.4,1,3,NA,"Middle Class",NA,NA,NA
"150","Liberal",72,NA,NA,"Own","Middle Class","2025",6,0,1,2,0,0.574452638626099,0.5,4,5,"Liberal","Middle Class",NA,NA,NA
"151","Conservative",64,"Technicians","Lower-grade service","Own","Middle Class","2025",10,0,1,2,1,0.646020889282227,0.6,1,5,"Conservative","Middle Class","Middle Class","Concordant","Lower-grade service"
"152","Liberal",72,NA,NA,"Own","Middle Class","2025",7,0,1,2,1,0.558378756046295,0.2,4,5,"Liberal","Middle Class",NA,NA,NA
"153","Liberal",29,NA,NA,"Rent","Middle Class","2025",6,0,0,1,1,0.831709861755371,0.7,1,4,"Liberal","Middle Class",NA,NA,NA
"154",NA,71,"Skilled clerks","Skilled workers",NA,"Upper-Middle Class","2025",6,0,0,3,0,0.574452638626099,0.8,4,4,NA,"Upper Class","Middle Class","Inflator",NA
"155","Liberal",33,"Technical experts","Higher-grade service","Own","Middle Class","2025",10,0,0,2,1,1.12209284305573,0,1,3,"Liberal","Middle Class","Upper Class","Deflator","Higher-grade service"
"156","Liberal",63,"Self-employed","Self-employed","Own","Working Class","2025",10,0,1,1,1,0.646020889282227,0.2,3,5,"Liberal","Working Class","Upper Class","Deflator","Self-employed"
"157","Liberal",30,"Self-employed","Self-employed","Rent","Middle Class","2025",5,1,1,2,0,0.745368242263794,0,3,5,"Liberal","Middle Class","Upper Class","Deflator","Self-employed"
"158",NA,40,NA,NA,"Own","Middle Class","2025",5,1,0,NA,1,1.88132548332214,0.5,13,1,NA,"Middle Class",NA,NA,NA
"159","Bloc",44,"Self-employed","Self-employed","Own","Lower Class","2025",5,1,0,1,1,1.88132548332214,0.6,3,2,"Bloc","Working Class","Working Class","Concordant","Self-employed"
"160",NA,27,NA,NA,"Rent","Middle Class","2025",6,0,0,NA,0,2.09702253341675,NA,7,1,NA,"Middle Class",NA,NA,NA
"161","Liberal",55,"Skilled clerks","Skilled workers","Own","Middle Class","2025",6,0,0,2,0,1.73609721660614,0.2,1,2,"Liberal","Middle Class","Middle Class","Concordant",NA
